id,id_scanned_kanban,kanban,location,delivery,line_no,stock_address,supplier_name,parts_code,parts_name,quantity,kanban_num,scooter_station,scan_date_time,request_date_time,requested_by,print_date_time,selector_ip,selection_date_time,status
6269405,REQ:220122085132f,"F11014570457029812               22233157 KL                                                        ",4570,4570,3157 KL,H160201,91549-TA0-0030-HI,29812,"CL-91549TA000-B   ",100,2223,FA14,2022-01-22 20:51:11.00,2022-01-22 20:51:53.00,DI-MDujBC29d7TZOsC34,2022-01-22 21:46:47.00,172.25.117.48,2022-01-22 21:46:43.00,Ongoing Picking
6269736,REQ:22012209cc0b0,"F1101457045700075E               00054114 KL1                                                       ",4570,4570,4114 KL1,D130403,BLTM6X18.5BP-2,0075E,"BLTM6X12(0796)   ",1000,5,FA12,2022-01-22 21:46:38.00,2022-01-22 21:47:16.00,DI-g81elfL4jkBqaSJk9,2022-01-22 21:57:45.00,172.25.119.232,2022-01-22 21:57:42.00,Ongoing Picking
6269886,REQ:22012209e7275,"F11014570457037980               0194D01 SPA KL                                                     ",4570,4570,D01 SPA KL,B120405,09C47PLG9S4-LBR,37980,"C-DSSSB-LBR   ",1000,194,WT10,2022-01-22 21:59:07.00,2022-01-22 22:00:06.00,DI-m9tzWTLzCxpMHrYkA,2022-01-22 22:01:14.00,172.25.119.232,2022-01-22 22:01:11.00,Ongoing Picking
6270062,REQ:2201221040cbe,"F11014570457011847               0172T20 A3KL1                                                      ",4570,4570,T20 A3KL1,D170602,TER187M-MSN,11847,"HKM   ",2500,172,WT11,2022-01-22 22:01:59.00,2022-01-22 22:02:05.00,DI-m9tzBNMzCdgfew3Y,2022-01-22 22:04:38.00,172.25.119.232,2022-01-22 22:04:35.00,Ongoing Picking
6270358,REQ:2201221011cf0,"F11014570457022412               0448HONDA 3M0A                                                     ",4570,4570,HONDA 3M0A,A30102,7116-4416-02,22412,"YRHF   ",8000,448,WT12,2022-01-22 22:20:14.00,2022-01-22 22:21:31.00,PD-HNFAGJSAdqwOro3tugs56fofsjfosd36Y,2022-01-22 22:22:11.00,172.25.119.232,2022-01-22 22:21:44.00,Ongoing Picking
6270374,REQ:2201221011cf0,"F11014570457036277               0217TKR SPM KL                                                     ",4570,4570,TKR SPM KL,B160603,DL9PLG-SI-3S-V,36277,"C-STWSB(V)   ",2000,217,WT12,2022-01-22 22:20:54.00,2022-01-22 22:21:31.00,PD-HNFAGJSAdqwOro3tugs56fofsjfosd36Y,2022-01-22 22:22:30.00,172.25.119.232,2022-01-22 22:21:44.00,Ongoing Picking
6270375,REQ:2201221011cf0,"F11014570457036277               0216TKR SPM KL                                                     ",4570,4570,TKR SPM KL,B160603,DL9PLG-SI-3S-V,36277,"C-STWSB(V)   ",2000,216,WT12,2022-01-22 22:20:58.00,2022-01-22 22:21:31.00,PD-HNFAGJSAdqwOro3tugs56fofsjfosd36Y,2022-01-22 22:22:30.00,172.25.119.232,2022-01-22 22:21:44.00,Ongoing Picking
6270377,REQ:2201221011cf0,"F11014570457036171               0571TKR SPM KL                                                     ",4570,4570,TKR SPM KL,C90102,D 1 928 300 934,36171,"C-MTX-R   ",1000,571,WT12,2022-01-22 22:21:02.00,2022-01-22 22:21:31.00,PD-HNFAGJSAdqwOro3tugs56fofsjfosd36Y,2022-01-22 22:22:30.00,172.25.119.232,2022-01-22 22:21:44.00,Ongoing Picking
6270380,REQ:2201221011cf0,"F11014570457036171               0558TKR SPM KL                                                     ",4570,4570,TKR SPM KL,C90102,D 1 928 300 934,36171,"C-MTX-R   ",1000,558,WT12,2022-01-22 22:21:09.00,2022-01-22 22:21:31.00,PD-HNFAGJSAdqwOro3tugs56fofsjfosd36Y,2022-01-22 22:22:30.00,172.25.119.232,2022-01-22 22:21:44.00,Ongoing Picking
6270381,REQ:2201221011cf0,"F11014570457036171               0570TKR SPM KL                                                     ",4570,4570,TKR SPM KL,C90102,D 1 928 300 934,36171,"C-MTX-R   ",1000,570,WT12,2022-01-22 22:20:55.00,2022-01-22 22:21:31.00,PD-HNFAGJSAdqwOro3tugs56fofsjfosd36Y,2022-01-22 22:22:30.00,172.25.119.232,2022-01-22 22:21:44.00,Ongoing Picking
6270402,REQ:2201221075c19,"F11014570457034315               0397H-O I8 KL                                                      ",4570,4570,H-O I8 KL,B50103,7116-7391-02,34315,"YSN-F20   ",5000,397,WT9,2022-01-22 22:30:31.00,2022-01-22 22:30:51.00,PD-LASMVLKAfweJIOF26WQDd195ksaFMF,2022-01-22 22:48:46.00,172.25.119.232,2022-01-22 22:48:44.00,Ongoing Picking
6270776,REQ:22012211f46a8,"F11014570457036171               0564TKR SPM KL                                                     ",4570,4570,TKR SPM KL,C90102,D 1 928 300 934,36171,"C-MTX-R   ",1000,564,WT12,2022-01-22 23:01:06.00,2022-01-22 23:03:01.00,PD-HNFAGJSAdqwOro3tugs56fofsjfosd36Y,2022-01-22 23:06:05.00,172.25.119.232,2022-01-22 23:05:54.00,Ongoing Picking
6270806,REQ:22012211594ae,"F11014570457032688               1091D01 K16 KL                                                     ",4570,4570,D01 K16 KL,B10103,09A68N6T-SN-M-S,32688,"TSN-M03   ",6000,1091,WT5,2022-01-22 23:08:03.00,2022-01-22 23:08:41.00,PD-MHBSLSMGLS304WM545635FSAJKFOPW,2022-01-22 23:10:00.00,172.25.119.232,2022-01-22 23:09:25.00,Ongoing Picking
6270818,REQ:22012211e762f,"F11014570457023403               02762116 KL                                                        ",4570,4570,2116 KL,N160201,7283-8850-30,23403,"YRH-SB-6FA-B   ",700,276,FA13,2022-01-22 23:10:45.00,2022-01-22 23:11:14.00,PD-MHBSLSMGLS304WM545635FSAJKFOPW,2022-01-22 23:11:29.00,172.25.119.232,2022-01-22 23:11:27.00,Ongoing Picking
6270853,REQ:220122115cef5,"F11014570457001GDK               0051S.O U14 KL                                                     ",4570,4570,S.O U14 KL,D150402,NULL,01GDK,"NSSEWF05   ",7000,51,WT2A,2022-01-22 23:16:11.00,2022-01-22 23:17:30.00,DI-guhbnMUxv13fgKXUlm,2022-01-22 23:18:43.00,172.25.119.232,2022-01-22 23:18:41.00,Ongoing Picking
6270855,REQ:220122115cef5,"F11014570457001045               0054S-O J5 KL                                                      ",4570,4570,S-O J5 KL,A150203,?-????M6-SL,01045,"LA106-L   ",2000,54,WT2A,2022-01-22 23:16:16.00,2022-01-22 23:17:30.00,DI-guhbnMUxv13fgKXUlm,2022-01-22 23:18:43.00,172.25.119.232,2022-01-22 23:18:41.00,Ongoing Picking
6271068,REQ:22012211780a9,"F11014570457091688               0157SUBL81KL1                                                      ",4570,4570,SUBL81KL1,WR130106,NULL,91688,"VSSXT 0.5F W ",1000,157,WT8,2022-01-22 23:30:48.00,2022-01-22 23:31:05.00,PD-WFKieqflksflkajgv565gv6ds5hjbdfjascnvs,2022-01-22 23:34:40.00,172.25.119.232,2022-01-22 23:34:38.00,Ongoing Picking
6271607,REQ:220122112efd8,"F110145704570UR0                 0027J12 X22                                                        ",4570,4570,J12 X22,WIRE50118,NULL,UR0,"AVSS 2.0F BE ",400,27,WT6,2022-01-22 23:43:46.00,2022-01-22 23:56:26.00,DI-VcBa463InlowertdsKXu,2022-01-23 00:59:53.00,172.25.119.232,2022-01-23 00:59:51.00,Ongoing Picking
6271610,REQ:22012312408eb,"F11014570457008548               0994T20A-18                                                        ",4570,4570,T20A-18,T30101,NO.21J-T0.2X40X100,08548,"VT0.2X40(L)   ",1200,994,WT11,2022-01-23 00:10:02.00,2022-01-23 00:10:06.00,DI-m9tzBNMzCdgfew3Y,2022-01-23 01:00:52.00,172.25.119.232,2022-01-23 01:00:49.00,Ongoing Picking
6271944,REQ:22012210fcc4c,"F1101457045700SS                 0353SUBJ81KL1                                                      ",4570,4570,SUBJ81KL1,WIRE901,PAVSS 0.3 B,0SS,"PAVSS 0.3 B ",1000,353,WT8,2022-01-22 22:24:45.00,2022-01-23 01:21:42.00,PD-GKDHGKDMGKLDLKVMS40626596DHJ4D,2022-01-23 01:22:08.00,172.25.119.232,2022-01-23 01:22:06.00,Ongoing Picking
6271976,REQ:22012301fdfc3,"F110145704570YS8                 0469TKRA KL                                                        ",4570,4570,TKRA KL,WR110221,NULL,YS8,"AVSS 0.3F SB ",1000,469,WT12,2022-01-23 01:23:20.00,2022-01-23 01:23:25.00,PD-HNFAGJSAdqwOro3tugs56fofsjfosd36Y,2022-01-23 01:23:48.00,172.25.119.232,2022-01-23 01:23:45.00,Ongoing Picking
6272486,REQ:22012302817bb,"F11014570457001PTQ               01783157 KL                                                        ",4570,4570,3157 KL,AD40202,GB0638CN,01PTQ,"GB0638CN   ",500,178,FA14,2022-01-23 02:00:25.00,2022-01-23 02:01:28.00,DI-MDujBC29d7TZOsC34,2022-01-23 02:01:56.00,172.25.119.232,2022-01-23 02:01:46.00,Ongoing Picking
6272507,REQ:220123013146c,"F11014570457001NW6               02527105 KL1                                                       ",4570,4570,7105 KL1,M190204,0499-0263,01NW6,CL-0263-W,100,252,FA8,2022-01-23 01:58:34.00,2022-01-23 01:58:41.00,PD-Gafkjfefalsfkpwlfksdjfopwqklq1056475bdsjkfnsdj,2022-01-23 02:02:48.00,172.25.119.232,2022-01-23 02:02:45.00,Ongoing Picking
6272706,REQ:2201230206d48,"F11014570457040830               0113YD1 SPA KL                                                     ",4570,4570,YD1 SPA KL,A70203,SQHR-02H-1C-D,40830,"JSQ-AB-H2FA-O   ",750,113,WT2A,2022-01-23 02:09:24.00,2022-01-23 02:11:03.00,DI-guhbnMUxv13fgKXUlm,2022-01-23 02:12:28.00,172.25.119.232,2022-01-23 02:12:04.00,Ongoing Picking
6272913,REQ:22012302c83fc,"F11014570457023760               37474114 KL1                                                       ",4570,4570,4114 KL1,L340101,TESANO.5160819MMX25M,23760,"FT19(B)   ",2400,3747,FA12,2022-01-23 02:16:58.00,2022-01-23 02:17:30.00,DI-g81elfL4jkBqaSJk9,2022-01-23 02:21:42.00,172.25.119.232,2022-01-23 02:21:39.00,Ongoing Picking
6272933,REQ:220123026eaae,"F11014570457022416               2321H-O SPAKL1                                                     ",4570,4570,H-O SPAKL1,B180202,7158-3165-90,22416,"C-YRH-L   ",2000,2321,WT9,2022-01-23 02:24:04.00,2022-01-23 02:25:02.00,PD-LASMVLKAfweJIOF26WQDd195ksaFMF,2022-01-23 02:26:01.00,172.25.119.232,2022-01-23 02:25:58.00,Ongoing Picking
6272934,REQ:220123026eaae,"F11014570457022416               2324H-O SPAKL1                                                     ",4570,4570,H-O SPAKL1,B180202,7158-3165-90,22416,"C-YRH-L   ",2000,2324,WT9,2022-01-23 02:24:08.00,2022-01-23 02:25:02.00,PD-LASMVLKAfweJIOF26WQDd195ksaFMF,2022-01-23 02:26:01.00,172.25.119.232,2022-01-23 02:25:58.00,Ongoing Picking
6272936,REQ:220123026eaae,"F11014570457022416               2314H-O SPAKL1                                                     ",4570,4570,H-O SPAKL1,B180202,7158-3165-90,22416,"C-YRH-L   ",2000,2314,WT9,2022-01-23 02:24:11.00,2022-01-23 02:25:02.00,PD-LASMVLKAfweJIOF26WQDd195ksaFMF,2022-01-23 02:26:01.00,172.25.119.232,2022-01-23 02:25:58.00,Ongoing Picking
6273067,REQ:22012302d6c46,"F11014570457025575               0633Y2R SPA KL                                                     ",4570,4570,Y2R SPA KL,B60201,1612121-4,25575,"ASQ-AB-2FEA-Y   ",100,633,WT4,2022-01-23 02:45:15.00,2022-01-23 02:49:05.00,PD-MHBSLSMGLS304WM545635FSAJKFOPW,2022-01-23 02:53:50.00,172.25.119.232,2022-01-23 02:53:19.00,Ongoing Picking
6273213,REQ:22012302ab638,"F11014570457022492               0045D.O F1-B12                                                     ",4570,4570,D.O F1-B12,B110301,IL-AG5-C2-5000,22492,"AG-50S   ",5000,45,WT5,2022-01-23 02:58:23.00,2022-01-23 03:00:58.00,PD-MHBSLSMGLS304WM545635FSAJKFOPW,2022-01-23 03:07:17.00,172.25.119.232,2022-01-23 03:07:15.00,Ongoing Picking
6273215,REQ:22012302ab638,"F11014570457017438               0674D-O D5 KL                                                      ",4570,4570,D-O D5 KL,A130102,09663N8T-SN-F-L,17438,"MKF20E   ",2000,674,WT5,2022-01-23 02:58:09.00,2022-01-23 03:00:58.00,PD-MHBSLSMGLS304WM545635FSAJKFOPW,2022-01-23 03:07:17.00,172.25.119.232,2022-01-23 03:07:15.00,Ongoing Picking
6273216,REQ:22012302ab638,"F11014570457032688               1094D-O F1 KL                                                      ",4570,4570,D-O F1 KL,B10103,09A68N6T-SN-M-S,32688,"TSN-M03   ",6000,1094,WT5,2022-01-23 02:58:07.00,2022-01-23 03:00:58.00,PD-MHBSLSMGLS304WM545635FSAJKFOPW,2022-01-23 03:07:17.00,172.25.119.232,2022-01-23 03:07:15.00,Ongoing Picking
6273218,REQ:22012302ab638,"F11014570457035240               0456TKR F1-A4                                                      ",4570,4570,TKR F1-A4,A110102,7114-7387-02,35240,"YSN-M   ",6500,456,WT5,2022-01-23 02:58:25.00,2022-01-23 03:00:58.00,PD-MHBSLSMGLS304WM545635FSAJKFOPW,2022-01-23 03:07:27.00,172.25.119.232,2022-01-23 03:07:15.00,Ongoing Picking
6273452,REQ:2201230367f87,"F11014570457016711               1161J12 SPB KL                                                     ",4570,4570,J12 SPB KL,CHEMI2,KE3494,16711,"SJ-KE3494   ",330,1161,WT6,2022-01-23 03:17:52.00,2022-01-23 03:19:13.00,PD-FMWGTFPOQ3GKERQXSKDPAKWOIR0WQ,2022-01-23 03:19:57.00,172.25.119.232,2022-01-23 03:19:54.00,Ongoing Picking
6273672,REQ:220123034e2d1,"F11014570457017494               1020MER SPA KL                                                     ",4570,4570,MER SPA KL,D170501,#244J0.2X56X100????,17494,"VTZ0.2X56(TR)   ",100,1020,WT7,2022-01-23 03:26:54.00,2022-01-23 03:44:20.00,PD-FMWGTFPOQ3GKERQXSKDPAKWOIR0WQ,2022-01-23 03:57:10.00,172.25.119.232,2022-01-23 03:56:54.00,Ongoing Picking
6273684,REQ:22012303b60bf,"F11014570457030310               0676Y2R E11 KL                                                     ",4570,4570,Y2R E11 KL,B170101,09A73N6T-SN-F-L,30310,"TSN-F20   ",3500,676,WT4,2022-01-23 03:44:57.00,2022-01-23 03:45:41.00,PD-MHBSLSMGLS304WM545635FSAJKFOPW,2022-01-23 03:58:37.00,172.25.119.232,2022-01-23 03:57:46.00,Ongoing Picking
6273808,REQ:220123034a7cf,"F11014570457022416               2318H-O SPAKL1                                                     ",4570,4570,H-O SPAKL1,B180202,7158-3165-90,22416,"C-YRH-L   ",2000,2318,WT12,2022-01-23 03:48:07.00,2022-01-23 03:48:21.00,PD-HNFAGJSAdqwOro3tugs56fofsjfosd36Y,2022-01-23 04:00:12.00,172.25.119.232,2022-01-23 04:00:08.00,Ongoing Picking
6273810,REQ:220123034a7cf,"F11014570457022416               2319H-O SPAKL1                                                     ",4570,4570,H-O SPAKL1,B180202,7158-3165-90,22416,"C-YRH-L   ",2000,2319,WT12,2022-01-23 03:48:09.00,2022-01-23 03:48:21.00,PD-HNFAGJSAdqwOro3tugs56fofsjfosd36Y,2022-01-23 04:00:12.00,172.25.119.232,2022-01-23 04:00:08.00,Ongoing Picking
6273814,REQ:220123034a7cf,"F11014570457053Q                 1001TKR L61 KL                                                     ",4570,4570,TKR L61 KL,WIRE30114,NULL,53Q,"AVSS 0.3 Y ",1000,1001,WT12,2022-01-23 03:47:59.00,2022-01-23 03:48:21.00,PD-HNFAGJSAdqwOro3tugs56fofsjfosd36Y,2022-01-23 04:00:21.00,172.25.119.232,2022-01-23 04:00:08.00,Ongoing Picking
6273815,REQ:220123034a7cf,"F11014570457052Z                 1593TKR O61 KL                                                     ",4570,4570,TKR O61 KL,WIRE30113,NULL,52Z,"AVSS 0.3 W ",1000,1593,WT12,2022-01-23 03:47:58.00,2022-01-23 03:48:21.00,PD-HNFAGJSAdqwOro3tugs56fofsjfosd36Y,2022-01-23 04:00:21.00,172.25.119.232,2022-01-23 04:00:08.00,Ongoing Picking
6273926,REQ:220123032c53e,"F11014570457088754               02413157 KL                                                        ",4570,4570,3157 KL,K20204,HX06-3F-B,88754,"HVS-SB-3F-B   ",100,241,FA14,2022-01-23 04:00:49.00,2022-01-23 04:00:53.00,DI-MDujBC29d7TZOsC34,2022-01-23 04:02:36.00,172.25.117.170,2022-01-23 04:02:33.00,Ongoing Picking
6273948,REQ:2201230410180,"F11014570457002VSN               04053157 KL                                                        ",4570,4570,3157 KL,H40101,NULL,02VSN,"GB5468   ",200,405,FA14,2022-01-23 04:01:10.00,2022-01-23 04:02:04.00,DI-MDujBC29d7TZOsC34,2022-01-23 04:03:06.00,172.25.117.170,2022-01-23 04:03:03.00,Ongoing Picking
6273952,REQ:2201230410180,"F11014570457002L69               05413157 KL                                                        ",4570,4570,3157 KL,L120202,7298-1853-10,02L69,"YRHL-SB-2F-2DGR   ",150,541,FA14,2022-01-23 04:01:20.00,2022-01-23 04:02:04.00,DI-MDujBC29d7TZOsC34,2022-01-23 04:03:06.00,172.25.117.170,2022-01-23 04:03:03.00,Ongoing Picking
6273954,REQ:2201230410180,"F11014570457008515               1556HONDA 3S5A                                                     ",4570,4570,HONDA 3S5A,C120202,NULL,08515,"VT0.13X19(W)   ",200,1556,FA14,2022-01-23 04:01:07.00,2022-01-23 04:02:04.00,DI-MDujBC29d7TZOsC34,2022-01-23 04:03:19.00,172.25.117.170,2022-01-23 04:03:03.00,Ongoing Picking
6273955,REQ:2201230410180,"F11014570457008515               1557HONDA 3S5A                                                     ",4570,4570,HONDA 3S5A,C120202,NULL,08515,"VT0.13X19(W)   ",200,1557,FA14,2022-01-23 04:01:22.00,2022-01-23 04:02:04.00,DI-MDujBC29d7TZOsC34,2022-01-23 04:03:19.00,172.25.117.170,2022-01-23 04:03:03.00,Ongoing Picking
6273956,REQ:2201230410180,"F11014570457000FBD               0036HONDA 3S5A                                                     ",4570,4570,HONDA 3S5A,MAIG130120,NULL,00FBD,"FT19(B)51623-1   ",1980,36,FA14,2022-01-23 04:01:17.00,2022-01-23 04:02:04.00,DI-MDujBC29d7TZOsC34,2022-01-23 04:03:19.00,172.25.117.170,2022-01-23 04:03:03.00,Ongoing Picking
6274087,REQ:2201230444fcc,"F1101457045700TY                 0625SUBC83KL1                                                      ",4570,4570,SUBC83KL1,WIRE803,PAVSS 0.5 BR,0TY,"PAVSS 0.5 BR ",1000,625,WT8,2022-01-23 04:21:53.00,2022-01-23 04:22:02.00,PD-WFKieqflksflkajgv565gv6ds5hjbdfjascnvs,2022-01-23 04:22:31.00,172.25.119.232,2022-01-23 04:22:18.00,Ongoing Picking
6274258,REQ:220123042d30c,"F11014570457008548               1079YD1 SPA KL                                                     ",4570,4570,YD1 SPA KL,T30101,NO.21J-T0.2X40X100,08548,"VT0.2X40(L)   ",1200,1079,WT2B,2022-01-23 04:34:39.00,2022-01-23 04:35:24.00,DI-WPypxkSjiIil5i3df,2022-01-23 04:37:19.00,172.25.119.232,2022-01-23 04:37:05.00,Ongoing Picking
6274453,REQ:220123054d38f,"F11014570457031158               06041117 KL                                                        ",4570,4570,1117 KL,K130203,FD025-24M-AY,31158,"HSE-DL-24M   ",100,604,FA7,2022-01-23 05:05:09.00,2022-01-23 05:07:07.00,DI-nvy63fny8k2pwHp5D,2022-01-23 05:21:16.00,172.25.119.232,2022-01-23 05:21:14.00,Ongoing Picking
6274608,REQ:2201230594a2d,"F11014570457021002               1230MER E5 KL                                                      ",4570,4570,MER E5 KL,A170103,09868WQT-SN-F-M,21002,"SSEWF   ",7500,1230,WT7,2022-01-23 05:15:33.00,2022-01-23 05:16:00.00,PD-FMWGTFPOQ3GKERQXSKDPAKWOIR0WQ,2022-01-23 05:24:00.00,172.25.117.48,2022-01-23 05:23:57.00,Ongoing Picking
6274643,REQ:22012305146bb,"F110145704570JD0                 0288S.OBI62 KL                                                     ",4570,4570,S.OBI62 KL,WIRE402106,NULL,JD0,"IVSSH 0.5F SB ",1000,288,WT2A,2022-01-23 05:14:42.00,2022-01-23 05:15:27.00,DI-guhbnMUxv13fgKXUlm,2022-01-23 05:35:11.00,172.25.119.232,2022-01-23 05:35:08.00,Ongoing Picking
6274711,REQ:220123055c616,"F1101457045701CX                 0522S.O Q73 KL                                                     ",4570,4570,S.O Q73 KL,WIRE815,PIVUS 0.5 P/,1CX,"PIVUS 0.5 P ",2000,522,WT2B,2022-01-23 05:37:26.00,2022-01-23 05:37:52.00,DI-WPypxkSjiIil5i3df,2022-01-23 05:44:40.00,172.25.119.232,2022-01-23 05:44:38.00,Ongoing Picking
